country,main_cat,sub_cat1,new_mult
IT,LEUCHTEN,AUßENLEUCHTEN,1.04
IT,LEUCHTEN,INNENLEUCHTEN,1.05
IT,POLSTER,WOHNLANDSCHAFTEN,1.29
IT,WOHNEN,KOMMODEN & SIDEBOARDS,0.9
IT,WOHNEN,REGALE,1.9
IT,WOHNEN,TISCHE,0.98
IT,WOHNEN,TV-MEDIAMÖBEL,0.94
NL,BABY,KOMPLETTPROGRAMME & SETS,9.1
NL,BAD,BADREGALE,0.86
NL,BAD,BADSCHRÄNKE,1.06
NL,BAD,BADSET,1.01
NL,BAD,SPIEGEL,0.99
NL,BAD,WASCHTISCHE,0.9
NL,BETTEN,BETTGESTELLE,0.99
NL,BETTEN,ZUBEHÖR,1.46
NL,BOUTIQUE,AUFBEWAHRUNG,1.01
NL,BOUTIQUE,BADACCESSOIRES,0.81
NL,BOUTIQUE,DEKORATION,1.01
NL,BOUTIQUE,GARTENACCESSOIRES,1.79
NL,BOUTIQUE,WANDEKORATION,0.97
NL,BÜRO,BÜRO-KOMPLETTSETS,0.6
NL,BÜRO,BÜROSCHRÄNKE,1.09
NL,BÜRO,BÜROSTÜHLE,0.82
NL,BÜRO,SCHREIBTISCHE,0.85
NL,BÜRO,SEKRETÄRE,0.69
NL,ESSZIMMERSTÜHLE&BÄNKE,BARHOCKER,0.94
NL,ESSZIMMERSTÜHLE&BÄNKE,BÄNKE,0.76
NL,ESSZIMMERSTÜHLE&BÄNKE,ESSZIMMERSTÜHLE,0.83
NL,ESSZIMMERTISCHE,BAR,1.02
NL,ESSZIMMERTISCHE,BARTISCHE,0.48
NL,ESSZIMMERTISCHE,ESSTISCHE,1.11
NL,FLURMÖBEL,GARDEROBEN,0.58
NL,FLURMÖBEL,SCHUHSCHRÄNKE,0.68
NL,GARTEN,GARTEN LOUNGEMÖBEL,1.96
NL,HAUSHALT,GESCHIRR,0.28
NL,HAUSHALT,GLÄSER,1.83
NL,HAUSHALT,KÜCHENAUFBEWAHRUNG,1.03
NL,HAUSHALT,KÜCHENHELFER,1.41
NL,HAUSHALT,KÜCHENUTENSILIEN,1.28
NL,HAUSHALT,MÜLLEIMER,0.83
NL,HAUSHALT,TÖPFE,1.11
NL,HEIMTEXTILIEN,BADEMATTEN & BADTEPPICHE,0.87
NL,HEIMTEXTILIEN,BETTDECKEN & KOPFKISSEN,0.6
NL,HEIMTEXTILIEN,BETTLAKEN,0.83
NL,HEIMTEXTILIEN,BETTWÄSCHE,1.28
NL,HEIMTEXTILIEN,DUSCHVORHÄNGE,0.87
NL,HEIMTEXTILIEN,GARDINEN & VORHÄNGE,1.0
NL,HEIMTEXTILIEN,HANDTÜCHER,0.92
NL,HEIMTEXTILIEN,KISSEN,1.74
NL,HEIMTEXTILIEN,TAGESDECKEN & PLAIDS,0.99
NL,HEIMTEXTILIEN,TISCHWÄSCHE,1.1
NL,KINDER,BABYMÖBEL,2.02
NL,KINDER,KINDER-SPIELZEUGE,0.86
NL,KINDER,KINDERTEXTILIEN,1.05
NL,KINDER,KINDERZIMMERMÖBEL,0.65
NL,LEUCHTEN,AUßENLEUCHTEN,0.76
NL,LEUCHTEN,INNENLEUCHTEN,0.84
NL,LEUCHTEN,ZUBEHÖR,0.74
NL,MATRATZEN&LATTENROSTE,MATRATZEN,0.34
NL,MATRATZEN&LATTENROSTE,MATRATZENTOPPER,0.7
NL,POLSTER,EINZELSOFAS,0.59
NL,POLSTER,RELAXLIEGEN,0.75
NL,POLSTER,SCHLAFSOFAS,1.61
NL,POLSTER,SESSEL,0.67
NL,POLSTER,SITZWÜRFEL & POLSTERHOCKER,0.21
NL,SCHLAFZIMMERMÖBEL,BETTBÄNKE&BETTTRUHEN,0.74
NL,SCHLAFZIMMERMÖBEL,KLEIDERSCHRÄNKE & ZUBEHÖR,0.26
NL,SCHLAFZIMMERMÖBEL,KOMMODEN,1.5
NL,SCHLAFZIMMERMÖBEL,NACHTKOMMODEN,0.71
NL,TEPPICHE & BODENBELÄGE,FELLTEPPICHE,0.77
NL,TEPPICHE & BODENBELÄGE,FUß- & SAUBERLAUFMATTEN,1.7
NL,TEPPICHE & BODENBELÄGE,HOCHFLORTEPPICHE & SHAGGYS,0.91
NL,TEPPICHE & BODENBELÄGE,KINDERTEPPICHE,0.81
NL,TEPPICHE & BODENBELÄGE,KURZFLORTEPPICHE,1.06
NL,TEPPICHE & BODENBELÄGE,LÄUFER,1.15
NL,TEPPICHE & BODENBELÄGE,OUTDOOR-TEPPICHE,1.09
NL,TEPPICHE & BODENBELÄGE,WOLLTEPPICHE,1.02
NL,WOHNEN,KOMMODEN & SIDEBOARDS,1.06
NL,WOHNEN,REGALE,0.85
NL,WOHNEN,TISCHE,0.96
NL,WOHNEN,TV-MEDIAMÖBEL,0.99
NL,WOHNEN,VITRINEN & SCHRÄNKE,1.31
