country,main_cat,sub_cat1,old_mult
CH,garten,komplettprogramme & sets,1.32
CH,bad,badregale,1.45
CH,wohnen,kamine,1.35
CH,garten,gartenliege,1.32
CH,schlafzimmermöbel,bettbänke&betttruhen,1.35
CH,polster,recamieren,1.35
CH,esszimmertische,esstische,1.32
CH,matratzen&lattenroste,matratzentopper,1.42
CH,kinder,n/a,1.39
CH,flurmöbel,schuhschränke,1.35
CH,garten,bänke & hocker,1.32
CH,schlafzimmermöbel,schminktische,1.35
CH,bad,badset,1.45
CH,wohnen,tv-mediamöbel,1.35
CH,wohnen,kommoden & sideboards,1.35
CH,baby,komplettprogramme & sets,1.42
CH,schlafzimmermöbel,nachtkommoden,1.35
CH,kinder,kommoden,1.39
CH,esszimmerstühle&bänke,barhocker,1.38
CH,baby,schränke,1.42
CH,teppiche & bodenbeläge,outdoor-teppiche,1.4
CH,esszimmertische,bartische,1.32
CH,büro,büroschränke,1.43
CH,küche,küche,1.32
CH,büro,schreibtische,1.43
CH,büro,bürostühle,1.43
CH,esszimmertische,buffets,1.32
CH,bad,waschtische,1.45
CH,schlafzimmermöbel,n/a,1.35
CH,kinder,betten & zubehör,1.39
CH,kinder,nachttische,1.39
CH,baby,regale,1.42
CH,baby,n/a,1.42
CH,teppiche & bodenbeläge,wollteppiche,1.4
CH,polster,n/a,1.35
CH,wohnen,tische,1.35
CH,schlafzimmermöbel,kommoden,1.35
CH,büro,n/a,1.43
CH,polster,sitzwürfel & polsterhocker,1.35
CH,betten,boxspringbetten,1.35
CH,heimtextilien,gardinen & vorhänge,1.39
CH,polster,sessel,1.35
CH,bad,spiegel,1.45
CH,matratzen&lattenroste,matratzen,1.42
CH,schlafzimmermöbel,kleiderschränke & zubehör,1.35
CH,esszimmertische,zubehör,1.32
CH,esszimmerstühle&bänke,esszimmerstühle,1.38
CH,teppiche & bodenbeläge,kurzflorteppiche,1.4
CH,kinder,komplettprogramme & sets,1.39
CH,leuchten,zubehör,1.32
CH,heimtextilien,badematten & badteppiche,1.39
CH,garten,gartentische,1.32
CH,esszimmertische,essgruppen,1.32
CH,garten,gartenstühle,1.32
CH,boutique,badaccessoires,1.42
CH,leuchten,innenleuchten,1.32
CH,kinder,tische & zubehör,1.39
CH,kinder,schränke & zubehör,1.39
CH,esszimmerstühle&bänke,n/a,1.38
CH,bad,badschränke,1.45
CH,baby,betten,1.42
CH,polster,ecksofas,1.35
CH,boutique,dekoration,1.42
CH,esszimmertische,bar,1.32
CH,polster,schlafsofas,1.35
CH,polster,polstergarnituren & sets,1.35
CH,haushalt,küchenutensilien,1.4
CH,flurmöbel,garderoben,1.35
CH,heimtextilien,kissen,1.39
CH,betten,zubehör,1.35
CH,büro,büro-komplettsets,1.43
CH,garten,gartenzubehör,1.32
CH,teppiche & bodenbeläge,fellteppiche,1.4
CH,boutique,gartenaccessoires,1.42
CH,heimtextilien,tischwäsche,1.39
CH,heimtextilien,tagesdecken & plaids,1.39
CH,boutique,wandekoration,1.42
CH,kinder,sitzgelegenheiten,1.39
CH,wohnen,vitrinen & schränke,1.35
CH,leuchten,außenleuchten,1.32
CH,garten,garten loungemöbel,1.32
CH,wohnen,regale,1.35
CH,heimtextilien,bettwäsche,1.39
CH,betten,gästebetten,1.35
CH,polster,relaxliegen,1.35
CH,polster,wohnlandschaften,1.35
CH,esszimmerstühle&bänke,bänke,1.38
CH,teppiche & bodenbeläge,hochflorteppiche & shaggys,1.4
CH,büro,sekretäre,1.43
CH,betten,bettgestelle,1.35
CH,polster,einzelsofas,1.35
CH,baby,wickelkommoden & zubehör,1.42
CH,schlafzimmermöbel,schlafzimmersets,1.35
CH,polster,zubehör,1.35
FR,baby,betten,1.1
FR,baby,wickelkommoden & zubehör,1.1
FR,baby,n/a,1.1
FR,baby,komplettprogramme & sets,1.1
FR,baby,regale,1.1
FR,baby,schränke,1.1
FR,bad,n/a,1.12
FR,bad,badregale,1.12
FR,bad,spiegel,1.12
FR,bad,badset,1.12
FR,bad,badschränke,1.12
FR,bad,waschtische,1.12
FR,betten,zubehör,1.05
FR,betten,gästebetten,1.05
FR,betten,bettgestelle,1.05
FR,betten,boxspringbetten,1.05
FR,betten,himmelbetten,1.05
FR,boutique,badaccessoires,1.2
FR,boutique,wandekoration,1.2
FR,boutique,gartenaccessoires,1.2
FR,boutique,aufbewahrung,1.2
FR,boutique,n/a,1.2
FR,boutique,dekoration,1.2
FR,boutique,duftartikel,1.2
FR,boutique,saisonartikel weihnachten,1.2
FR,büro,bürostühle,1.1
FR,büro,n/a,1.1
FR,büro,sekretäre,1.1
FR,büro,büroschränke,1.1
FR,büro,büro-komplettsets,1.1
FR,büro,schreibtische,1.1
FR,esszimmerstühle&bänke,n/a,1.05
FR,esszimmerstühle&bänke,bänke,1.05
FR,esszimmerstühle&bänke,barhocker,1.05
FR,esszimmerstühle&bänke,esszimmerstühle,1.05
FR,esszimmertische,essgruppen,1.08
FR,esszimmertische,bar,1.08
FR,esszimmertische,n/a,1.08
FR,esszimmertische,bartische,1.08
FR,esszimmertische,esstische,1.08
FR,esszimmertische,barset,1.08
FR,esszimmertische,buffets,1.08
FR,esszimmertische,zubehör,1.08
FR,flurmöbel,garderoben,1.09
FR,flurmöbel,schuhschränke,1.09
FR,flurmöbel,n/a,1.09
FR,garten,gartentische,1.11
FR,garten,garten loungemöbel,1.11
FR,garten,gartenzubehör,1.11
FR,garten,gartenliege,1.11
FR,garten,bänke & hocker,1.11
FR,garten,komplettprogramme & sets,1.11
FR,garten,gartenstühle,1.11
FR,haushalt,küchenutensilien,1.15
FR,haushalt,mülleimer,1.15
FR,haushalt,kannen & krüge,1.15
FR,haushalt,geschirr,1.15
FR,haushalt,küchenaufbewahrung,1.15
FR,haushalt,gläser,1.15
FR,haushalt,barzubehör,1.15
FR,haushalt,küchenhelfer,1.15
FR,heimtextilien,badematten & badteppiche,1.15
FR,heimtextilien,bettdecken & kopfkissen,1.15
FR,heimtextilien,tagesdecken & plaids,1.15
FR,heimtextilien,bettwäsche,1.15
FR,heimtextilien,handtücher,1.15
FR,heimtextilien,kissen,1.15
FR,heimtextilien,tischwäsche,1.15
FR,heimtextilien,duschvorhänge,1.15
FR,heimtextilien,n/a,1.15
FR,heimtextilien,bettlaken,1.15
FR,heimtextilien,gardinen & vorhänge,1.15
FR,kinder,schränke & zubehör,1.15
FR,kinder,sitzgelegenheiten,1.15
FR,kinder,kommoden,1.15
FR,kinder,regale,1.15
FR,kinder,betten & zubehör,1.15
FR,kinder,aufbewahrung,1.15
FR,kinder,nachttische,1.15
FR,kinder,tische & zubehör,1.15
FR,kinder,n/a,1.15
FR,kinder,komplettprogramme & sets,1.15
FR,küche,küche,1.07
FR,leuchten,innenleuchten,1.1
FR,leuchten,außenleuchten,1.1
FR,leuchten,zubehör,1.1
FR,matratzen&lattenroste,matratzen/lattenrost-sets,1.1
FR,matratzen&lattenroste,matratzen,1.1
FR,matratzen&lattenroste,matratzentopper,1.1
FR,matratzen&lattenroste,lattenroste,1.1
FR,polster,schlafsofas,1.1
FR,polster,ecksofas,1.1
FR,polster,polstergarnituren & sets,1.1
FR,polster,relaxliegen,1.1
FR,polster,wohnlandschaften,1.1
FR,polster,sitzwürfel & polsterhocker,1.1
FR,polster,einzelsofas,1.1
FR,polster,zubehör,1.1
FR,polster,recamieren,1.1
FR,polster,bigsofas,1.1
FR,polster,n/a,1.1
FR,polster,sessel,1.1
FR,schlafzimmermöbel,schlafzimmersets,1.14
FR,schlafzimmermöbel,kleiderschränke & zubehör,1.14
FR,schlafzimmermöbel,bettbänke&betttruhen,1.14
FR,schlafzimmermöbel,nachtkommoden,1.14
FR,schlafzimmermöbel,schminktische,1.14
FR,schlafzimmermöbel,n/a,1.14
FR,schlafzimmermöbel,kommoden,1.14
FR,teppiche & bodenbeläge,n/a,1.09
FR,teppiche & bodenbeläge,wollteppiche,1.09
FR,teppiche & bodenbeläge,fellteppiche,1.09
FR,teppiche & bodenbeläge,hochflorteppiche & shaggys,1.09
FR,teppiche & bodenbeläge,läufer,1.09
FR,teppiche & bodenbeläge,kurzflorteppiche,1.09
FR,teppiche & bodenbeläge,kinderteppiche,1.09
FR,teppiche & bodenbeläge,fuß- & sauberlaufmatten,1.09
FR,teppiche & bodenbeläge,outdoor-teppiche,1.09
FR,wohnen,n/a,1.07
FR,wohnen,spiegel,1.07
FR,wohnen,regale,1.07
FR,wohnen,tv-mediamöbel,1.07
FR,wohnen,vitrinen & schränke,1.07
FR,wohnen,kommoden & sideboards,1.07
FR,wohnen,kamine,1.07
FR,wohnen,tische,1.07
IT,heimtextilien,tischwäsche,1.15
IT,bad,waschtische,1.07
IT,küche,küche,1.07
IT,betten,himmelbetten,1.04
IT,baby,schränke,1.15
IT,heimtextilien,bettlaken,1.15
IT,teppiche & bodenbeläge,outdoor-teppiche,1.11
IT,büro,schreibtische,1.07
IT,büro,büro-komplettsets,1.07
IT,esszimmertische,buffets,1.06
IT,büro,büroschränke,1.07
IT,betten,gästebetten,1.04
IT,garten,garten loungemöbel,1.15
IT,baby,regale,1.15
IT,flurmöbel,n/a,1.09
IT,kinder,betten & zubehör,1.15
IT,polster,sitzwürfel & polsterhocker,1.07
IT,esszimmerstühle&bänke,bänke,1.07
IT,teppiche & bodenbeläge,fuß- & sauberlaufmatten,1.11
IT,schlafzimmermöbel,n/a,1.07
IT,polster,sessel,1.07
IT,leuchten,zubehör,1.15
IT,schlafzimmermöbel,kommoden,1.07
IT,kinder,komplettprogramme & sets,1.15
IT,heimtextilien,gardinen & vorhänge,1.15
IT,büro,n/a,1.07
IT,esszimmerstühle&bänke,esszimmerstühle,1.07
IT,matratzen&lattenroste,matratzen,1.04
IT,esszimmertische,zubehör,1.06
IT,heimtextilien,duschvorhänge,1.15
IT,esszimmertische,bar,1.06
IT,wohnen,kommoden & sideboards,1.07
IT,esszimmerstühle&bänke,n/a,1.07
IT,schlafzimmermöbel,schminktische,1.07
IT,esszimmerstühle&bänke,barhocker,1.07
IT,polster,schlafsofas,1.07
IT,boutique,dekoration,1.15
IT,esszimmertische,essgruppen,1.06
IT,flurmöbel,schuhschränke,1.09
IT,bad,badschränke,1.07
IT,kinder,tische & zubehör,1.15
IT,garten,gartenstühle,1.15
IT,kinder,schränke & zubehör,1.15
IT,haushalt,geschirr,1.15
IT,boutique,wandekoration,1.15
IT,esszimmertische,n/a,1.06
IT,esszimmertische,bartische,1.06
IT,teppiche & bodenbeläge,fellteppiche,1.11
IT,wohnen,vitrinen & schränke,1.07
IT,heimtextilien,tagesdecken & plaids,1.15
IT,kinder,sitzgelegenheiten,1.15
IT,matratzen&lattenroste,matratzen/lattenrost-sets,1.04
IT,garten,gartenzubehör,1.15
IT,heimtextilien,kissen,1.15
IT,flurmöbel,garderoben,1.09
IT,büro,bürostühle,1.07
IT,polster,polstergarnituren & sets,1.07
IT,betten,zubehör,1.04
IT,heimtextilien,bettwäsche,1.15
IT,polster,wohnlandschaften,1.07
IT,polster,einzelsofas,1.07
IT,wohnen,tische,1.07
IT,teppiche & bodenbeläge,hochflorteppiche & shaggys,1.11
IT,baby,wickelkommoden & zubehör,1.15
IT,betten,bettgestelle,1.04
IT,haushalt,mülleimer,1.15
IT,schlafzimmermöbel,schlafzimmersets,1.07
IT,leuchten,außenleuchten,1.15
IT,wohnen,regale,1.07
IT,teppiche & bodenbeläge,wollteppiche,1.11
IT,polster,relaxliegen,1.07
IT,büro,sekretäre,1.07
IT,teppiche & bodenbeläge,kurzflorteppiche,1.11
IT,garten,komplettprogramme & sets,1.15
IT,boutique,aufbewahrung,1.15
IT,teppiche & bodenbeläge,kinderteppiche,1.11
IT,kinder,regale,1.15
IT,bad,badregale,1.07
IT,schlafzimmermöbel,kleiderschränke & zubehör,1.07
IT,kinder,aufbewahrung,1.15
